"timestamp","dob","major","~coding","~marketing","~networking","~problem solving","~math","~physics","~softskill","~create software","~content creation","~physical networking","!coder or manager","!build planning","!coding often","?questions","?feedback"
"2022/10/25 3:27:11 午後 GMT+7","2022-10-25","Computer Science","2","4","1","1","1","1","3","2","3","1","Product Manager","Plan for everything before building","Often (daily)","",""
"2022/10/26 11:48:09 午前 GMT+7","1998-08-01","Computer Science","4","1","4","5","1","3","3","5","2","4","Code Developer","Build while planning","Often (daily)","","""How much do you like or value soft skills? "" these two should be distinct questions as they can conflict.

""networking"" is too vague."
"2022/10/26 11:55:10 午前 GMT+7","1999-03-10","Computer Science","5","2","2","4","3","2","2","5","2","3","Code Developer","Build while planning","Often (daily)","","""Networking"" means creating new business contacts more than working with networks. It should probably be worded better."
"2022/10/26 12:24:37 午後 GMT+7","2003-02-27","Telecoms and Networking","3","3","4","4","4","4","4","4","4","4","Product Manager","Plan for everything before building","Sometimes (>= once / week)","",""
"2022/10/26 12:26:26 午後 GMT+7","2005-06-16","Computer Science","3","2","3","3","2","4","3","3","4","3","Either/Neither","Build while planning","Rarely (< once / month)","Prefer public or private place?",""
"2022/10/26 12:37:32 午後 GMT+7","2000-09-22","Telecoms and Networking","5","2","3","3","5","5","2","5","1","3","Code Developer","Build while planning","Sometimes (>= once / week)","","It's so hard to fill the birthday "
"2022/10/26 12:46:56 午後 GMT+7","2002-07-18","Computer Science","3","4","2","4","4","3","5","3","4","4","Product Manager","Build while planning","Sometimes (>= once / week)","idk","nope"
"2022/10/26 12:55:48 午後 GMT+7","2001-03-08","Telecoms and Networking","4","4","4","4","4","4","4","3","3","5","Code Developer","Plan for everything before building","Occasionally (>= once / month)","",""
"2022/10/26 1:08:30 午後 GMT+7","2022-10-26","Computer Science","3","2","1","1","4","4","2","3","3","3","Code Developer","Plan for everything before building","Occasionally (>= once / month)","Nope","Nope"
"2022/10/26 1:10:08 午後 GMT+7","2001-11-11","Telecoms and Networking","3","4","5","4","5","4","5","3","3","4","Either/Neither","Plan for everything before building","Occasionally (>= once / month)","",""
"2022/10/26 1:12:08 午後 GMT+7","2003-01-10","Telecoms and Networking","4","2","5","5","5","3","5","5","3","5","Either/Neither","Build while planning","Rarely (< once / month)","",""
"2022/10/26 1:21:58 午後 GMT+7","2002-09-15","Computer Science","4","1","2","4","4","1","5","3","2","1","Code Developer","Plan for everything before building","Often (daily)","No.","No."
"2022/10/26 1:34:28 午後 GMT+7","2004-02-25","Telecoms and Networking","4","4","4","4","4","4","4","4","4","4","Code Developer","Plan for everything before building","Occasionally (>= once / month)","",""
"2022/10/26 2:52:32 午後 GMT+7","2002-10-26","Telecoms and Networking","4","5","3","4","3","3","5","3","5","3","Product Manager","Plan for everything before building","Rarely (< once / month)","",""
"2022/10/26 3:37:32 午後 GMT+7","2004-07-26","E-Commerce","4","4","3","4","3","4","4","4","4","4","Product Manager","Plan for everything before building","Sometimes (>= once / week)","I think it'$ good enough.","No thank you !! "
"2022/10/26 3:56:42 午後 GMT+7","2003-11-27","Computer Science","3","4","2","5","5","4","5","5","5","3","Product Manager","Plan for everything before building","Often (daily)","",""
"2022/10/26 4:20:04 午後 GMT+7","2004-03-10","Computer Science","4","3","2","3","4","4","4","3","4","1","Code Developer","Plan for everything before building","Often (daily)","",""
"2022/10/26 4:20:42 午後 GMT+7","2004-01-01","Computer Science","4","3","3","3","3","4","3","3","2","3","Either/Neither","Plan for everything before building","Sometimes (>= once / week)","No ","It   is okey. "
"2022/10/26 4:30:34 午後 GMT+7","2005-02-15","Computer Science","3","4","2","4","2","3","4","4","4","3","Code Developer","Plan for everything before building","Often (daily)","N/A","N/A"
"2022/10/26 4:38:53 午後 GMT+7","2003-07-19","Computer Science","4","2","2","3","2","2","4","4","4","1","Code Developer","Plan for everything before building","Often (daily)","",""
"2022/10/26 6:26:13 午後 GMT+7","2002-09-17","Computer Science","5","4","3","4","3","3","4","5","5","3","Code Developer","Build while planning","Sometimes (>= once / week)","",""
"2022/10/26 6:28:12 午後 GMT+7","2022-12-11","Telecoms and Networking","3","3","5","4","2","2","3","2","2","5","Either/Neither","Plan for everything before building","Rarely (< once / month)","",""
"2022/10/27 11:13:56 午前 GMT+7","2003-12-01","E-Commerce","2","4","1","5","3","5","5","1","3","1","Product Manager","Build while planning","Rarely (< once / month)","",""
"2022/10/27 11:14:23 午前 GMT+7","2003-09-18","E-Commerce","4","4","4","4","4","5","5","3","3","3","Product Manager","Plan for everything before building","Rarely (< once / month)","",""
"2022/10/30 12:53:05 午前 GMT+7","2006-05-04","Computer Science","4","2","2","5","4","4","3","4","5","2","Code Developer","Build while planning","Occasionally (>= once / month)","",""
"2022/10/30 3:14:12 午前 GMT+7","2007-02-04","E-Commerce","1","5","1","3","5","1","5","1","5","2","Product Manager","Build while planning","Rarely (< once / month)","",""
"2022/10/30 7:55:39 午前 GMT+7","0008-07-10","Computer Science","4","2","3","4","3","3","4","2","4","3","Product Manager","Plan for everything before building","Often (daily)","",""
"2022/10/30 8:23:29 午後 GMT+7","2003-08-05","Computer Science","4","4","2","5","3","4","3","5","5","3","Code Developer","Build while planning","Sometimes (>= once / week)","",""
"2022/11/05 2:50:13 午後 GMT+7","2001-01-10","E-Commerce","4","5","3","5","5","5","5","4","5","3","Product Manager","Plan for everything before building","Occasionally (>= once / month)","",""
"2022/11/05 3:13:30 午後 GMT+7","2004-01-08","E-Commerce","3","5","1","5","3","5","5","3","3","1","Product Manager","Build while planning","Rarely (< once / month)","",""
